TICKER,DURATION,PERIODEND,INDEXNAME,FORECAST_VALUE,ORIGINAL_VALUE,FORECAST_CUMULATIVEVALUE,ORIGINAL_CUMULATIVEVALUE,COMMENT,FORECAST_ERROR_PERCENTAGE,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
DASH,Est. Quarter,2025-06-30,Global New Store Index,88.75059268643881,91.96663237100003,882.3186846364389,854.5111686169,QTD Forecast,-3.4970%,,,
DASH,Est. Quarter,2019-03-31,Global Order Index,14.391105486033318,14.328395337485713,40.810533768833324,34.866040505,QTD Forecast,0.4377%,,,
DASH,Est. Quarter,2019-06-30,Global Order Index,18.27095950015306,18.674233403142846,59.01878311943878,53.20527809242857,QTD Forecast,-2.1595%,,,
DASH,Est. Quarter,2019-09-30,Global Order Index,20.73897734875523,21.689635649571425,80.1610343721838,73.683068196,QTD Forecast,-4.3830%,,,
DASH,Est. Quarter,2019-12-31,Global Order Index,24.637065859372157,24.91500331071429,105.74846223737217,97.78104974557144,QTD Forecast,-1.1155%,,,
DASH,Est. Quarter,2020-03-31,Global Order Index,28.864926068372835,31.070483283571438,134.8908065550871,125.38544869242857,QTD Forecast,-7.0986%,,,
DASH,Est. Quarter,2020-06-30,Global Order Index,60.78796191279868,61.019028384999935,197.88334648708445,178.541662644,QTD Forecast,-0.3787%,,,
DASH,Est. Quarter,2020-09-30,Global Order Index,69.38048450857461,71.80826761128561,267.49351814986034,245.82203337142855,QTD Forecast,-3.3809%,,,
DASH,Est. Quarter,2020-12-31,Global Order Index,81.30049861733453,83.97430592457147,350.95016886490595,324.65829579971427,QTD Forecast,-3.1841%,,,
DASH,Est. Quarter,2021-03-31,Global Order Index,98.97715087448651,97.73493288328584,452.6553074056293,419.469652353,QTD Forecast,1.2710%,,,
DASH,Est. Quarter,2021-06-30,Global Order Index,99.19817938095431,98.22111353057153,550.676565949383,519.1134116171429,QTD Forecast,0.9948%,,,
DASH,Est. Quarter,2021-09-30,Global Order Index,99.54945576459865,100.94574277814286,649.2489558625987,618.1539796515715,QTD Forecast,-1.3832%,,,
DASH,Est. Quarter,2021-12-31,Global Order Index,103.55846279290614,105.47620613628563,754.203705671049,720.7138008748572,QTD Forecast,-1.8182%,,,
DASH,Est. Quarter,2022-03-31,Global Order Index,115.97028385888407,117.11252452057136,872.2039321643126,833.3207171748571,QTD Forecast,-0.9753%,,,
DASH,Est. Quarter,2022-06-30,Global Order Index,120.6414115451602,119.5132021511429,993.9875843711601,955.6015624177143,QTD Forecast,0.9440%,,,
DASH,Est. Quarter,2022-09-30,Global Order Index,115.8991235078739,116.75442327028556,1108.7584984850166,1072.5565879805713,QTD Forecast,-0.7326%,,,
DASH,Est. Quarter,2022-12-31,Global Order Index,121.70791310027644,123.71042083171422,1231.321711348705,1191.9624324182857,QTD Forecast,-1.6187%,,,
DASH,Est. Quarter,2023-03-31,Global Order Index,136.05979655453964,139.4597484058572,1369.3840156346823,1323.7650678765713,QTD Forecast,-2.4379%,,,
DASH,Est. Quarter,2023-06-30,Global Order Index,143.86083870534594,144.6776701834285,1516.6448061913459,1470.870761922,QTD Forecast,-0.5646%,,,
DASH,Est. Quarter,2023-09-30,Global Order Index,143.8848881515748,147.9289282721427,1661.3465258220033,1616.4030639031428,QTD Forecast,-2.7338%,,,
DASH,Est. Quarter,2023-12-31,Global Order Index,150.30523649639412,152.61917542085706,1815.6958024379655,1767.0883982251428,QTD Forecast,-1.5162%,,,
DASH,Est. Quarter,2024-03-31,Global Order Index,163.74659334171665,166.12792198671445,1981.7563347041453,1927.8338003170002,QTD Forecast,-1.4334%,,,
DASH,Est. Quarter,2024-06-30,Global Order Index,169.32282645721162,168.75300387114262,2153.4604898063544,2099.584879016,QTD Forecast,0.3377%,,,
DASH,Est. Quarter,2024-09-30,Global Order Index,170.76528333177117,172.97807852171445,2323.655950551057,2270.3162071834286,QTD Forecast,-1.2792%,,,
DASH,Est. Quarter,2024-12-31,Global Order Index,184.08360995173047,184.8319419879999,2509.9500816907307,2450.419045737143,QTD Forecast,-0.4049%,,,
DASH,Est. Quarter,2025-03-31,Global Order Index,191.5664225717928,197.89943276300014,2702.2648363007925,2638.0352927852855,QTD Forecast,-3.2001%,,,
DASH,Est. Quarter,2025-06-30,Global Order Index,224.0520149421853,225.58356426999998,2932.649861433186,2861.360364285143,QTD Forecast,-0.6789%,,,
DASH,Est. Quarter,2025-09-30,Global Order Index,233.0006240427229,160.22123206999999,3167.1820348027227,3094.40264283,QTD Forecast,45.4243%,,,
FVRR,Est. Quarter,2018-06-30,Global Transaction Index,2.9527515021047996,1.9761795006999987,3.9527515021047996,2.0452059792233332,QTD Forecast,49.4172%,,,
FVRR,Est. Quarter,2018-09-30,Global Transaction Index,2.9051432645000257,2.9475728366000045,5.881322765100025,4.971434846173333,QTD Forecast,-1.4395%,,,
FVRR,Est. Quarter,2018-12-31,Global Transaction Index,3.1758233936541727,3.1693249130000036,9.09957573165417,8.080595880999999,QTD Forecast,0.2050%,,,
FVRR,Est. Quarter,2019-03-31,Global Transaction Index,3.247280859225574,3.3514953589999963,12.340358110225576,11.270631603870969,QTD Forecast,-3.1095%,,,
FVRR,Est. Quarter,2019-06-30,Global Transaction Index,3.484624487881338,3.4637750550000015,15.929197097881339,14.829423239533334,QTD Forecast,0.6019%,,,
FVRR,Est. Quarter,2019-09-30,Global Transaction Index,3.563679014664271,3.642779452999995,19.47202667966427,18.355886032833332,QTD Forecast,-2.1714%,,,
FVRR,Est. Quarter,2019-12-31,Global Transaction Index,3.9480091819263556,3.9097868789999963,23.49913629992636,22.23239652635484,QTD Forecast,0.9776%,,,
FVRR,Est. Quarter,2020-03-31,Global Transaction Index,4.212498919870684,4.351792366999995,27.673412917870685,26.31064732951613,QTD Forecast,-3.2008%,,,
FVRR,Est. Quarter,2020-06-30,Global Transaction Index,6.010034019138377,6.13673782599999,33.822740384138385,31.925928166633334,QTD Forecast,-2.0647%,,,
FVRR,Est. Quarter,2020-09-30,Global Transaction Index,6.4297592380750395,6.647760201000009,40.379203429075034,38.365409368099996,QTD Forecast,-3.2793%,,,
FVRR,Est. Quarter,2020-12-31,Global Transaction Index,6.853384340875887,7.142901739000001,47.450588732875886,45.25164386519355,QTD Forecast,-4.0532%,,,
FVRR,Est. Quarter,2021-03-31,Global Transaction Index,8.666491101635994,8.875323073000006,56.40659723363599,53.55166239725806,QTD Forecast,-2.3530%,,,
FVRR,Est. Quarter,2021-06-30,Global Transaction Index,8.810959942967571,8.70435905600001,65.42638914796757,62.64558351283333,QTD Forecast,1.2247%,,,
FVRR,Est. Quarter,2021-09-30,Global Transaction Index,8.320328834202115,8.429894909999984,73.64011709520213,71.03419855746667,QTD Forecast,-1.2997%,,,
FVRR,Est. Quarter,2021-12-31,Global Transaction Index,8.309015556443319,8.140549382,82.05869872844332,79.3927068323871,QTD Forecast,2.0695%,,,
FVRR,Est. Quarter,2022-03-31,Global Transaction Index,8.683528404225452,8.738978270000008,90.57376095822545,87.71321365561289,QTD Forecast,-0.6345%,,,
FVRR,Est. Quarter,2022-06-30,Global Transaction Index,8.240771883581164,8.174674422999985,98.86998270858116,96.2691327399,QTD Forecast,0.8086%,,,
FVRR,Est. Quarter,2022-09-30,Global Transaction Index,7.999066451010025,8.144099652000017,106.80295169901001,104.2976522133,QTD Forecast,-1.7808%,,,
FVRR,Est. Quarter,2022-12-31,Global Transaction Index,8.32365453087459,8.07927080900001,115.27163943087457,112.60095054190322,QTD Forecast,3.0248%,,,
FVRR,Est. Quarter,2023-03-31,Global Transaction Index,8.22600416534749,8.33329679,123.25325987534748,120.54343122838709,QTD Forecast,-1.2875%,,,
FVRR,Est. Quarter,2023-06-30,Global Transaction Index,7.921790035730748,7.839846828000014,131.28234253573078,128.78216565213336,QTD Forecast,1.0452%,,,
FVRR,Est. Quarter,2023-09-30,Global Transaction Index,7.5480728677624995,7.556530618999999,138.7484721967625,136.38442344313333,QTD Forecast,-0.1119%,,,
FVRR,Est. Quarter,2023-12-31,Global Transaction Index,7.38594429526576,7.169873981999992,146.14287424326577,143.77305467774192,QTD Forecast,3.0136%,,,
FVRR,Est. Quarter,2024-03-31,Global Transaction Index,7.383189752219051,7.4267418240000005,153.30999368221907,150.92149290916132,QTD Forecast,-0.5864%,,,
FVRR,Est. Quarter,2024-06-30,Global Transaction Index,6.950318928294983,6.774895055000002,160.303864682295,158.11029143183333,QTD Forecast,2.5893%,,,
FVRR,Est. Quarter,2024-09-30,Global Transaction Index,6.397357690635808,6.458759839000007,166.5257984986358,164.5221525694,QTD Forecast,-0.9507%,,,
FVRR,Est. Quarter,2024-12-31,Global Transaction Index,6.41596248540043,6.219661834,173.00316313240046,170.94456739680646,QTD Forecast,3.1561%,,,
FVRR,Est. Quarter,2025-03-31,Global Transaction Index,6.324594773911723,6.379461381000003,179.13145725491174,177.0479951323226,QTD Forecast,-0.8601%,,,
FVRR,Est. Quarter,2025-06-30,Global Transaction Index,6.023553882198757,5.907144686999994,185.20987774419876,183.3087985556,QTD Forecast,1.9707%,,,
MELI,Est. Quarter,2023-06-30,Mercado Libre Transaction Index,11.784994744629822,10.781595476942856,154.3397245982298,149.36051228942856,QTD Forecast,9.3066%,,,
MELI,Est. Quarter,2023-09-30,Mercado Libre Transaction Index,12.88250489482608,13.015831140242856,166.21883022526896,162.2968366183143,QTD Forecast,-1.0243%,,,
MELI,Est. Quarter,2023-12-31,Mercado Libre Transaction Index,14.24228763654753,14.846777133557145,180.59444410693322,176.0993431575714,QTD Forecast,-4.0715%,,,
MELI,Est. Quarter,2024-03-31,Mercado Libre Transaction Index,13.885405028829158,13.944468195671442,195.084338631672,190.6196494672857,QTD Forecast,-0.4236%,,,
MELI,Est. Quarter,2024-06-30,Mercado Libre Transaction Index,14.606948236408298,15.040142761871415,209.75035003482262,205.21800171585716,QTD Forecast,-2.8803%,,,
MELI,Est. Quarter,2024-09-30,Mercado Libre Transaction Index,16.08199089458169,16.389725412714288,226.2655354548674,221.36947944785715,QTD Forecast,-1.8776%,,,
